title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Kingsman: The Golden Circle,"After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy.",Action Adventure Comedy ,Matthew Vaughn,Taron Egerton Colin Firth Mark Strong Channing Tatum,en,unknown,Action Adventure Comedy Taron Egerton Colin Firth Mark Strong Channing TatumMatthew Vaughnen
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Action Drama Mystery ,Denis Villeneuve,Harrison Ford Ryan Gosling Ana de Armas Dave Bautista,en,unknown,Action Drama Mystery Harrison Ford Ryan Gosling Ana de Armas Dave BautistaDenis Villeneuveen
Dunkirk,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Action Drama History ,Christopher Nolan,Fionn Whitehead Barry Keoghan Mark Rylance Tom Hardy,en,unknown,Action Drama History Fionn Whitehead Barry Keoghan Mark Rylance Tom HardyChristopher Nolanen
Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Action Adventure Comedy ,Taika Waititi,Chris Hemsworth Tom Hiddleston Cate Blanchett Mark Ruffalo,en,unknown,Action Adventure Comedy Chris Hemsworth Tom Hiddleston Cate Blanchett Mark RuffaloTaika Waititien
It,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Horror ,Andy Muschietti,Bill Skarsgård Jaeden Martell Finn Wolfhard Sophia Lillis,en,unknown,Horror Bill Skarsgård Jaeden Martell Finn Wolfhard Sophia LillisAndy Muschiettien
Beauty and the Beast,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Family Fantasy Musical ,Bill Condon,Emma Watson Dan Stevens Luke Evans Josh Gad,en,unknown,Family Fantasy Musical Emma Watson Dan Stevens Luke Evans Josh GadBill Condonen
Justice League,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",Action Adventure Fantasy ,Zack Snyder,Ben Affleck Gal Gadot Jason Momoa Ezra Miller,en,unknown,Action Adventure Fantasy Ben Affleck Gal Gadot Jason Momoa Ezra MillerZack Snyderen
Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Horror Mystery Thriller ,Jordan Peele,Daniel Kaluuya Allison Williams Bradley Whitford Catherine Keener,en,unknown,Horror Mystery Thriller Daniel Kaluuya Allison Williams Bradley Whitford Catherine KeenerJordan Peeleen
Jumanji: Welcome to the Jungle,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Action Adventure Comedy ,Jake Kasdan,Dwayne Johnson Karen Gillan Kevin Hart Jack Black,en,unknown,Action Adventure Comedy Dwayne Johnson Karen Gillan Kevin Hart Jack BlackJake Kasdanen
Good Time,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",Crime Drama Thriller ,Benny Safdie,Josh Safdie Robert Pattinson Benny Safdie Jennifer Jason Leigh Buddy Duress,en,unknown,Crime Drama Thriller Josh Safdie Robert Pattinson Benny Safdie Jennifer Jason Leigh Buddy DuressBenny Safdieen
